Open,High,Low,Close,Volume,Dividends,Stock Splits,Moving_Average,RSI,EMA_short,EMA_long,MACD,Signal,Std_Dev
221.39372811908063,226.1881815360653,221.39372811908063,226.07830810546875,60412400,0.0,0.0,,,226.07830810546875,226.07830810546875,0.0,0.0,5.701980116986423
226.82744313327814,227.58657420321984,222.99188645966368,227.55661010742188,59085900,0.0,0.0,,,226.30573918269232,226.18781195746527,0.11792722522704935,0.02358544504540987,5.701980116986423
227.66647075237483,229.13477242689476,226.10827678949187,228.4156036376953,48076100,0.0,0.0,,,226.63033371423123,226.35283356340824,0.27750015082298773,0.07436838620092545,5.701980116986423
229.03489432853675,232.81052280414056,228.98494908857583,232.71063232421875,62627700,0.0,0.0,,,227.5657642696139,226.8237816197646,0.7419826498493194,0.20789123893060424,5.701980116986423
231.12247556848655,232.12131940866172,225.50897806386928,227.30690002441406,64710600,0.0,0.0,228.41361083984376,,227.52593900112163,226.85956816825714,0.6663708328644873,0.29958715771738087,5.701980116986423
228.65533061100126,232.3710309246342,228.4156026019726,230.27345275878906,53046500,0.0,0.0,229.2526397705078,,227.94863342537815,227.11244850829655,0.8361849170815958,0.4069067095902239,5.701980116986423
236.2065948881155,236.95572779308304,232.82051476730805,234.12899780273438,62631300,0.0,0.0,230.5671173095703,,228.89945871420218,227.63219290047715,1.2672658137250323,0.5789785304171856,5.701980116986423
234.72830752859608,235.9968435006337,232.06139624646423,234.54852294921875,43234300,0.0,0.0,231.793701171875,,229.76854551958934,228.14451364482838,1.6240318747609592,0.7879891992859405,5.701980116986423
229.1847200362218,231.19240594396558,226.37797123546218,228.61538696289062,57345900,0.0,0.0,230.9746520996094,,229.59113651086645,228.17939314987,1.4117433609964394,0.9127400316280403,5.701980116986423
230.01376046370817,230.17357913751758,222.01302671532576,223.92080688476562,66034600,0.0,0.0,230.29743347167968,,228.71877810685095,227.86394231541783,0.8548357914331177,0.9011591835890559,5.701980116986423
224.56007929212146,226.53778582663386,223.02185124438603,224.0506591796875,49151500,0.0,0.0,229.05287475585936,,228.00060596421042,227.58147689795632,0.41912906625410074,0.8047531601220649,5.701980116986423
226.74754193953342,227.5166559886428,222.8320757894778,223.70108032226562,48201800,0.0,0.0,226.96729125976563,,227.3391404808343,227.29404011457183,0.04510036626246006,0.6528226013501439,5.701980116986423
224.1105879628454,226.67762395265615,222.42253943120292,224.74984741210938,39960300,0.0,0.0,225.00755615234374,,226.94078770103044,227.1055813958709,-0.16479369484045492,0.4892993421120242,5.701980116986423
223.74101699336492,224.54009510228497,216.8789647868516,218.28732299804688,61777600,0.0,0.0,222.941943359375,39.72060268324502,225.60948543903297,226.45237707010614,-0.8428916310731722,0.22286114747498495,5.701980116986423
218.67687825947047,220.59467187678908,214.37186367512805,217.23855590820312,51391200,0.0,0.0,221.6054931640625,38.65094589490545,224.3216501265976,225.76987179885407,-1.4482216722564658,-0.1113554164713052,5.701980116986423
218.44714249209272,219.2362376525438,215.7602501518015,217.7080078125,41601300,0.0,0.0,220.336962890625,37.01946282161842,223.3041666936595,225.17269668875377,-1.8685299950942635,-0.4627903321958969,5.701980116986423
216.70916725528429,219.04645819403996,215.50055949707524,217.98768615722656,36311800,0.0,0.0,219.19428405761718,36.04278227766409,222.48624661113138,224.64047368641843,-2.1542270752870536,-0.8010776808141282,5.701980116986423
218.93659134819188,220.07527275577738,215.87013333691414,218.5470428466797,41643800,0.0,0.0,217.95372314453124,28.936424752960107,221.8802152627542,224.18910843903038,-2.3088931762761717,-1.102640779906537,5.701980116986423
221.1839827384757,223.56123595882272,220.3749216653048,221.8232421875,50036300,0.0,0.0,218.66090698242186,41.293988882531096,221.87145017425357,224.01385908706516,-2.1424089128115895,-1.3105944064875477,5.701980116986423
224.110590003871,224.22046343714268,216.7690968426558,218.1075439453125,62501000,0.0,0.0,218.83470458984374,31.133832294947368,221.29238767749342,223.57635426175017,-2.2839665842567456,-1.5052688420413873,5.701980116986423
218.89661861998934,225.3391734979224,217.45829631147987,219.60580444335938,105568600,0.0,0.0,219.21426391601562,25.701839303000966,221.03291333378047,223.28223946038787,-2.2493261266074,-1.65408029895459,5.701980116986423
198.85982239251607,213.25316621507156,195.7733984925247,209.02806091308594,119548600,0.0,0.0,217.4223388671875,18.13415173663651,219.18601296136592,222.22637438280995,-3.0403614214440324,-1.9313365234524786,5.701980116986423
205.06264094927153,209.7472209414639,200.8375358240923,206.9904022216797,69660500,0.0,0.0,215.1110107421875,20.088366287421323,217.30976515526035,221.09778385235586,-3.7880186970955094,-2.302672958181085,5.701980116986423
206.66078565300305,213.3929986622491,206.15138077832643,209.57742309570312,63516400,0.0,0.0,212.66184692382814,28.931920200171945,216.12017406917462,220.2444237963075,-4.124249727132877,-2.6669883119714437,5.701980116986423
212.86361928255258,213.95235545083946,208.5885687073719,213.06338500976562,47161100,0.0,0.0,211.65301513671875,35.3098218234817,215.64989882926554,219.7124949973044,-4.062596168038851,-2.9461098831849255,5.701980116986423
211.85479245119006,216.5293744807485,211.72493786998632,215.99000549316406,42201600,0.0,0.0,210.9298553466797,40.354816951602025,215.70222293140375,219.43675503403475,-3.7345321026309932,-3.1037943270741395,5.701980116986423
216.07000732421875,219.50999450683594,215.60000610351562,217.52999877929688,38028100,0.25,0.0,212.63024291992187,41.078882767514735,215.983419215695,219.29551382998008,-3.312094614285087,-3.145454384516329,5.701980116986423
